"","city","count","coordinates.lon","coordinates.lat","lon","lat"
"132","Lincoln", 1, -96.70260,  40.81362, -96.70260,40.81362
"133","Lincolnshire", 1, -87.90840,  42.19002, -87.90840,42.19002
"134","Lindon", 1,-111.72076,  40.34329,-111.72076,40.34329
"135","Linthicum Heights", 1, -76.65275,  39.20511, -76.65275,39.20511
"136","Livonia", 1, -83.35271,  42.36837, -83.35271,42.36837
"137","Lone Tree", 1,-111.65226,  40.16736,-111.65226,40.16736
"138","Long Beach", 2,-118.19374,  33.77005,-118.19374,33.77005
"139","Los Angeles",23,-118.24368,  34.05223,-118.24368,34.05223
"140","Louisville", 2, -85.75846,  38.25266, -85.75846,38.25266
"141","Lutherville-Timonium", 2, -76.61239,  39.43541, -76.61239,39.43541
"142","Malvern", 1, -75.51381,  40.03622, -75.51381,40.03622
"143","Manchester", 1, -71.45479,  42.99564, -71.45479,42.99564
"144","Marlborough", 1, -71.55229,  42.34593, -71.55229,42.34593
"145","Mason", 1, -84.30994,  39.36006, -84.30994,39.36006
"146","Maynard", 1, -71.44951,  42.43349, -71.44951,42.43349
"147","McLean", 5, -77.17726,  38.93387, -77.17726,38.93387
"148","McRae-Helena", 1, -82.90097,  32.06812, -82.90097,32.06812
"149","Melville", 1, -73.41512,  40.79343, -73.41512,40.79343
"150","Melvindale", 1, -83.17520,  42.28254, -83.17520,42.28254
"151","Memphis", 1, -90.04898,  35.14953, -90.04898,35.14953
"152","Menlo Park",10,-122.18173,  37.45296,-122.18173,37.45296
"153","Miami", 1, -80.19179,  25.76168, -80.19179,25.76168
"154","Midvale", 1,-111.89994,  40.61106,-111.89994,40.61106
"155","Milpitas", 1,-121.89957,  37.43233,-121.89957,37.43233
"156","Milwaukee", 1, -87.90647,  43.03890, -87.90647,43.03890
"157","Minneapolis", 4, -93.26501,  44.97775, -93.26501,44.97775
"158","Minnetonka", 2, -93.46875,  44.92118, -93.46875,44.92118
"159","Monterey", 2,-121.89468,  36.60024,-121.89468,36.60024
"160","Morgantown", 1, -79.95590,  39.62953, -79.95590,39.62953
"161","Morrisville", 3, -78.82556,  35.82348, -78.82556,35.82348
"162","Mountain View",29,-122.08385,  37.38605,-122.08385,37.38605
"163","Murray", 1,-111.88799,  40.66689,-111.88799,40.66689
"164","Nashville", 2, -86.78160,  36.16266, -86.78160,36.16266
"165","New Haven", 2, -72.92788,  41.30827, -72.92788,41.30827
"166","New York",74, -74.00597,  40.71278, -74.00597,40.71278
"167","Newark", 2, -74.17237,  40.73566, -74.17237,40.73566
"168","Niskayuna", 1, -73.89144,  42.80000, -73.89144,42.80000
"169","Norfolk", 4, -76.28587,  36.85077, -76.28587,36.85077
"170","Normal", 1, -88.99063,  40.51420, -88.99063,40.51420
"171","Northbrook", 1, -87.82895,  42.12753, -87.82895,42.12753
"172","Novi", 2, -83.47549,  42.48059, -83.47549,42.48059
"173","NYC Surgical Associates, 2nd Floor, between 42nd and 43rd, New York", 2, -73.92206,  40.74535, -73.92206,40.74535
"174","Oak Ridge", 1, -84.26964,  36.01036, -84.26964,36.01036
"175","Oakland", 4,-122.27116,  37.80435,-122.27116,37.80435
"176","Okemos", 1, -84.42747,  42.72226, -84.42747,42.72226
"177","Omaha", 6, -95.93450,  41.25654, -95.93450,41.25654
"178","Orange", 1,-117.85310,  33.78791,-117.85310,33.78791
"179","Orlando", 3, -81.37924,  28.53834, -81.37924,28.53834
"180","Osceola", 1, -81.07547,  28.10198, -81.07547,28.10198
"181","Osseo", 1, -93.40245,  45.11941, -93.40245,45.11941
"182","Oswego", 2, -76.51050,  43.45535, -76.51050,43.45535
"183","Overland Park", 1, -94.67079,  38.98223, -94.67079,38.98223
"184","Palo Alto",14,-122.14302,  37.44188,-122.14302,37.44188
"185","Panama City", 1, -85.66021,  30.15881, -85.66021,30.15881
"186","Parsippany", 1, -74.41739,  40.86529, -74.41739,40.86529
"187","Pensacola", 1, -87.21691,  30.42131, -87.21691,30.42131
"188","Peoria", 2, -89.58899,  40.69365, -89.58899,40.69365
"189","Philadelphia", 5, -75.16522,  39.95258, -75.16522,39.95258
"190","Phoenix", 4, -85.50595,  36.15461, -85.50595,36.15461
"191","Pittsburgh", 6, -79.99589,  40.44062, -79.99589,40.44062
"192","Plano", 3, -96.69889,  33.01984, -96.69889,33.01984
"193","Pleasanton", 4,-121.87580,  37.66045,-121.87580,37.66045
"194","Plum", 1, -83.26304,  42.54426, -83.26304,42.54426
"195","Portland",10,-122.67503,  45.50511,-122.67503,45.50511
"196","Princeton", 8, -74.66722,  40.35730, -74.66722,40.35730
"197","Quantico", 2, -77.29008,  38.52292, -77.29008,38.52292
"198","Queens", 1, -73.79485,  40.72822, -73.79485,40.72822
"199","Redmond", 3,-122.12151,  47.67399,-122.12151,47.67399
"200","Redwood City", 4,-122.22814,  37.48480,-122.22814,37.48480
"201","Renton", 2,-122.20792,  47.47969,-122.20792,47.47969
"202","Research Triangle", 1, -78.86364,  35.89917, -78.86364,35.89917
"203","Reston", 2, -77.35700,  38.95863, -77.35700,38.95863
"204","Richardson", 4, -96.72985,  32.94833, -96.72985,32.94833
"205","Richfield", 1, -93.28300,  44.88330, -93.28300,44.88330
"206","Richland", 1,-119.27520,  46.28042,-119.27520,46.28042
"207","Richmond", 2, -77.43605,  37.54072, -77.43605,37.54072
"208","Rockville", 1, -77.15276,  39.08400, -77.15276,39.08400
"209","Salt Lake City", 4,-111.89105,  40.76078,-111.89105,40.76078
"210","San Antonio", 3, -98.49363,  29.42412, -98.49363,29.42412
"211","San Diego",19,-117.16108,  32.71574,-117.16108,32.71574
"212","San Dimas", 2,-117.80673,  34.10668,-117.80673,34.10668
"213","San Francisco",51,-122.41942,  37.77493,-122.41942,37.77493
"214","San Jose", 6,-121.88633,  37.33821,-121.88633,37.33821
"215","San Mateo", 2,-122.32553,  37.56299,-122.32553,37.56299
"216","Sanger",11,-119.55597,  36.70801,-119.55597,36.70801
"217","Santa Ana", 3,-117.86765,  33.74547,-117.86765,33.74547
"218","Santa Barbara", 1,-119.69819,  34.42083,-119.69819,34.42083
"219","Santa Clara", 2,-121.95524,  37.35411,-121.95524,37.35411
"220","Santa Clarita", 1,-118.54259,  34.39166,-118.54259,34.39166
"221","Santa Cruz", 2,-122.03080,  36.97412,-122.03080,36.97412
"222","Santa Monica", 6,-118.49119,  34.01945,-118.49119,34.01945
"223","Saratoga Springs", 1, -73.78457,  43.08313, -73.78457,43.08313
"224","Sayreville", 1, -74.36085,  40.45940, -74.36085,40.45940
"225","SB @ 10th Street N, NS, Arlington", 1, -77.09518,  38.88408, -77.09518,38.88408
"226","Scottsdale", 1,-111.92605,  33.49417,-111.92605,33.49417
"227","Seattle", 9,-122.33207,  47.60621,-122.33207,47.60621
"228","Silver Spring", 1, -77.02609,  38.99067, -77.02609,38.99067
"229","Somerville", 6, -71.09950,  42.38760, -71.09950,42.38760
"230","Spartanburg", 3, -81.93205,  34.94957, -81.93205,34.94957
"231","Spring", 1, -88.19979,  41.77334, -88.19979,41.77334
"232","Springfield", 2, -89.65015,  39.78172, -89.65015,39.78172
"233","St Joseph", 2, -94.84668,  39.76746, -94.84668,39.76746
"234","St Paul", 1, -93.08996,  44.95370, -93.08996,44.95370
"235","St. Louis", 3, -90.19940,  38.62700, -90.19940,38.62700
"236","Stafford",32, -77.40831,  38.42207, -77.40831,38.42207
"237","Stamford", 1, -73.53873,  41.05343, -73.53873,41.05343
"238","Sudbury", 2, -71.41617,  42.38343, -71.41617,42.38343
"239","Suite 900, Austin", 1, -97.66096,  30.33342, -97.66096,30.33342
"240","Sunnyvale", 2,-122.03635,  37.36883,-122.03635,37.36883
"241","Tampa", 5, -82.45718,  27.95058, -82.45718,27.95058
"242","Toledo", 1, -83.53787,  41.65281, -83.53787,41.65281
"243","Topeka", 1, -95.67516,  39.04735, -95.67516,39.04735
"244","Torrance", 1,-118.34063,  33.83585,-118.34063,33.83585
"245","Unnamed Road, Findlay", 1, -83.64993,  41.04422, -83.64993,41.04422
"246","Venice", 4,-118.46948,  33.98505,-118.46948,33.98505
"247","Vernon", 1,-118.23007,  34.00390,-118.23007,34.00390
"248","Vicksburg", 1, -90.87788,  32.35265, -90.87788,32.35265
"249","Vienna", 1, -77.26526,  38.90122, -77.26526,38.90122
"250","Walnut Creek", 2,-122.06518,  37.91008,-122.06518,37.91008
"251","Waltham", 1, -71.23561,  42.37649, -71.23561,42.37649
"252","Washington", 7,-120.74014,  47.75107,-120.74014,47.75107
"253","Watertown", 1, -75.91076,  43.97478, -75.91076,43.97478
"254","West Tower, Ste 215, Boca Raton", 1, -80.12893,  26.36831, -80.12893,26.36831
"255","Westlake Village", 1,-118.80737,  34.14665,-118.80737,34.14665
"256","Weston", 2, -80.39977,  26.10037, -80.39977,26.10037
"257","Wheeling", 1, -80.72091,  40.06396, -80.72091,40.06396
"258","Williamsburg", 1, -76.70746,  37.27070, -76.70746,37.27070
"259","Wilmington", 1, -75.54839,  39.74466, -75.54839,39.74466
"260","Windsor", 2, -72.64370,  41.85260, -72.64370,41.85260
"261","Winters", 3,-121.97080,  38.52491,-121.97080,38.52491
"262","Woburn", 1, -71.15228,  42.47926, -71.15228,42.47926
"263","Woodbridge Township", 1, -74.28460,  40.55760, -74.28460,40.55760
