Title,Company,Location,Description,URL
Data Scientist,Kaiser Permanente,"San Diego, CA","Provides technical direction, including both strategic and tactical planning, execution and support of strategies for the SCPMG Medical informatics group. The position entails developing machine learning approaches to address healthcare's triple aim: to improve the health of populations, to lower the cost of care, and enhance the care experience.  Essential Responsibilities: Design, develop, and evaluate state-of-the-art machine learning models for complex, large-scale data sets. Use statistical and machine learning techniques to provide clinical decision support as well as improve auditing and standards of care workflows. Deliver insights and values from heterogeneous data to investigate complex problems in the health care domain for multiple use cases. Use machine learning, statistical and programming skills to enable data analytics. Drive informed decision-making and present findings to both technical and non-technical audiences. Work closely with physicians to identify medically relevant use cases, develop machine learning models, and validate impact Provide technical direction and mentor junior members of the Medical Informatics team. Work closely with software engineers to facilitate model integration and deployment Embrace a fast paced, collaborative environment dedicated to building atop cutting-edge technology.  Basic Qualifications:  Experience  Minimum five (5) years of experience in architecting and building scalable distributed systems, working in a fast-paced multidisciplinary environment, advocating innovative uses for data, including methodologies, techniques, and tools, working with Software Development Life Cycle (SDLC) and leading from conceptualization to production stage large-scale applications.  Education  Master's degree (MS) in computer science or related fields  License, Certification, Registration  N/A  Additional Requirements:  Experience with deep learning frameworks: e.g. Tensorflow, PyTorch. Knowledge of classification and regression algorithms Experience with Deep Learning approaches to Natural Language Understanding (NLU) and Language Modeling. Experience with time series analysis, discrete data modeling and feature engineering. Expert knowledge of Python Experience with SQL  Note: ERAP Bonus Award available  Preferred Qualifications:  Experience with Java/C++ Experience with machine learning continuous integration and deployment Experience with Tensorflow Serving Doctorate degree in computer science or related fields Knowledge of healthcare terminology Five (5) years experience working for an IT organization Four (4) years experience working on projects or programs requiring the integration of cross-functional technology and/or business solutions.  Five (5) years experience working on cross-functional project teams  PrimaryLocation : California,San Diego,El Camino Real Administration HoursPerWeek : 40 Shift : Day Workdays : Mon, Tue, Wed, Thu, Fri WorkingHoursStart : 8:30 AM WorkingHoursEnd : 5:00 PM Job Schedule : Full-time Job Type : Standard Employee Status : Regular Employee Group/Union Affiliation : Salaried, Non-Union, Exempt Job Level : Individual Contributor Job Category : Information Technology Department : Systems Solutions & Deployment Travel : No Kaiser Permanente is an equal opportunity employer committed to a diverse and inclusive workforce. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status.  External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with federal and state laws, as well as applicable local ordinances, including but not limited to the San Francisco and Los Angeles Fair Chance Ordinances.",https://www.indeed.com/viewjob?jk=84c5c28a64ce3dfe
Data Scientist,Tealium,"San Diego, CA 92111","WHO WE ARE: Tealium is the trusted leader in the customer data industry. We believe unified customer data is an organization’s most valuable asset and greatest competitive advantage. We help brands seamlessly unify their siloed customer data and applications in real time, and drive more profitable interactions across all touchpoints. Tealium’s Customer Data Hub (CDH) enables you to connect your data so you can connect with your customers.  Founded in 2008, Tealium’s patented and award-winning solutions are used by over 1,000 of the world's most innovative brands, including Sony, Providence St. Joseph Health, Cambria Health, T-Mobile, Hulu, Uber, Facebook, Expedia, Hyatt, Barcelo Hotel Group, Sportsbet, Utah Jazz, American Airlines, The Gap, Orange, and many others.  WHAT WE ARE LOOKING FOR: We are seeking an enthusiastic Data Scientist ready to fully leverage vast data sets of the Tealium Universal Data Hub using machine learning, deep learning, optimization techniques, and predictive modeling. YOUR DAY TO DAY Collaborate with our product development, engineering and digital strategy teams to build the next generation predictive-based action platform Discover insights across a wide range of industries, including e-commerce, enterprise lead generation, content providers, and more Leverage your ML modeling skills in both research and product development capacities Create models to optimize marketing and ad campaigns, product recommendations, spend optimization, and beyond WHY YOU ARE THE PERFECT FIT You have a minimum of 2-3 years of professional experience working in Data Science and Machine Learning You possess a Master’s Degree or PHD in Data Science, statistics or comparable studies You have gained an excellent grasp of mathematical concepts and statistical modeling through education and real world application You have a strong machine learning software development skills in Python or Java You have experience working with Python technologies such as SciKit-learn, Pandas, Numpy, or Matplotlib You have experience using SQL and the ability to write complex queries You can manipulate, transform, and clean raw data to uncover insights You have strong interpersonal skills, with the ability to work independently and within a team environment You have experience training, evaluating and deploying machine learning models at scale from prototype to production, specifically XGBoost, PyTorch and CatBoost models YOUR IDEAL SKILLS You have experience with data processing platforms and technologies such as Hadoop and Spark You have strong familiarity with AWS technologies such as DynamoDB, SageMaker, EMR and Athena You bring industry experience in marketing, e-commerce, and/or ad networks  WHY YOU WANT TO WORK HERE: The highly relevant and differentiated positioning of Tealium and our Customer Data Hub (CDH) makes this a unique and rewarding career opportunity. Organizations from start-ups to large global enterprises are utilizing Tealium to unify their customer data in real time and drive improvements in their overall data strategy. Over 1,000 global brands trust Tealium, and in an increasingly noisy market we are proud to maintain best-in-class renewal rates of >90%. When our customers are happy, we’re happy.  Our corporate HQ is located in sunny San Diego, just minutes from the beach and surrounded by beautiful hiking trails and the renowned Torrey Pines golf course. Our location is just one of the many perks we enjoy; At Tealium we dress casually (but professional), enjoy a flexible paid time off policy, rich benefit plans, company holidays, 401(K) match, and employee Stock Options - just to name a few. Not to mention we get to surround ourselves with some of the brightest minds in San Diego. If you are interested in being a part of Team Teal, we’d love to hear from you!  TEAL celebrates diversity and is an equal opportunity employer. It is our continuing policy to recruit and employ the best qualified individuals without regard to race, color, sex, religion, national origin, disability, age, sexual orientation, gender identity, and/or any other protected characteristic. TEAL does not tolerate unlawful discrimination of any kind and strives to be an inclusive and respectful workplace.",https://www.indeed.com/viewjob?jk=8462bdb8885301ab
"Data Scientist, Mid",Booz Allen Hamilton,"San Diego, CA 92108","The Challenge: Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by machine learning, artificial intelligence advances, and IoT? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors-from fraud detection, to cancer research, to national intelligence, you know the answers are in the data. We have an opportunity for you to use your leadership and analytical skills to improve the DoD and federal agencies. You’ll work closely with your customer to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You’ll mentor teammates, develop algorithms, write scripts, build predictive analytics, use automation, and apply machine learning to turn disparate data points into objective answers to help our nation’s services and leaders make data-driven decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in the DoD and federal agencies. Empower change with us. You Have:3+ years executing data science, machine learning, or artificial intelligence principlesExperience with one or more statistical analytical programming languages, including Python or RExperience with MySQLExperience with identifying analytic insight in data, developing visualizations, presenting findings to stakeholders, and statistical analysis techniquesExperience with designing and implementing custom machine learning algorithms, graph algorithms, and semantic WebKnowledge of object-oriented programming, including Java and C++Ability to build complex extraction, transformation, and loading (ETL) pipelines to clean and fuse data togetherAbility to obtain a security clearanceBA or BS degree Nice If You Have:Experience with designing and implementing custom machine learning algorithmsExperience with graph algorithms and semantic WebExperience with designing and setting up relational databasesExperience with Big Data computing environments, including HadoopExperience with Navy mission systemsExperience with managing a small team of 3-5 people and the technical delivery of a data science, machine learning, or artificial intelligence projectAbility to grow into a technical lead of one or more data science projectsMA or MS degree in Mathematics, CS, or related quantitative field Clearance: Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. Build Your Career:  At Booz Allen, we’re dedicated to helping you grow. When you join Booz Allen, you’ll have the chance to: access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk change the world with the Data Science Bowl—the world’s premier data science for social good competition participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want as you chart your own course for success. We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change. #LI-AH1",https://www.indeed.com/viewjob?jk=c750e24319fd3784
Clinical Laboratory Scientist - Data Review,Millennium Health,"San Diego, CA","The Clinical Laboratory Scientist, Data Review will review chromatographic data and calculated results obtained from a variety of standardized urinalysis tests in a toxicology laboratory for the detection of prescription and illicit drugs using advanced LC-MS-MS technology and EIA; applies toxicological and chromatographic rule sets to determine acceptability of results; requests additional testing as necessary; approves reports and patient results to ordering physicians.   Responsible for testing to troubleshoot result issues. Reports laboratory test results for all test methods approved by CAP, NY and CLIA. Ensures accuracy and quality of test results meeting required turnaround times. Enters testing data and reviews chromatography and calculated results from a variety of standardized tests on urine samples using advanced LC-MS-MS technology and EIA for the detection of prescription and illicit drugs. Evaluates the validity of results obtained, maintains proper records of results and creates a report of results. Maintains quality control and LC-MS-MS chromatographic data prior to release or results to physicians. Ensures that testing methods follow established quality control procedures. Identifies, troubleshoots, documents and resolves test result issues. Documents issues using the Laboratory Occurrence Management (LOM) form. Acts as a resource to laboratory technicians, laboratory assistants and associate scientists. Follows safe laboratory practices and participates in operational support activities necessary to maintain and optimize testing capabilities. May oversee the duties of clinical laboratory technicians, clinical laboratory assistants and associate scientists who prepare specimens or perform other less complex procedures. Participates in internal laboratory audits.   Required Skills  0-4 years’ experience in high complexity testing; CLIA/CAP environment Must maintain continuing education units required by California Department of Health Services Knowledgeable in laboratory methods and techniques Knowledgeable of equipment and supplies used in a laboratory Proficient in MS applications (Word/Excel/PowerPoint/Outlook) Strong interpersonal skills and ability to communicate with all levels of employees Effective attention to detail with high degree of accuracy Bachelor’s degree with current California CLS license ASCP license highly preferred   Millennium Health offers a competitive, comprehensive benefits package.  Millennium Health is an Equal Opportunity/Affirmative Action employer and E-Verify participant. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, gender identity, sexual orientation or protected veteran status  https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm Required Experience",https://www.indeed.com/viewjob?jk=1b3b1fda8e9e0ae8
Customer Insights Data Scientist,AppFolio,"San Diego, CA","Hi, We’re AppFolio. We’re innovators, changemakers, and collaborators. We’re more than just a software company — we’re a cloud-based powerhouse that creates products to make our customers’ lives easier. We’re revolutionizing the way people do business, and we want your ideas, your enthusiasm, and your passion to help us keep on innovating. We love where we work, and you can, too. To find out more about what AppFolio has to offer, check out appfolioinc.com/careers. Who We're Looking For:  The Customer Insights Data Scientist will bring together quantitative and qualitative data and be responsible for the ongoing analysis, reporting, and insight identification for vital Customer Experience programs and metrics such as but not limited to NPS and VOC. As part of the CX team to build a focused set of CX metrics used across the business as predictive measures that improve the customer experience and drive business outcomes.  Outcomes Launch VOC text analytics capabilities by leveraging technology and machine learning. Implement & create text analytics models and processes to synthesize and identify emerging customer insights informing product development. Stitch together multiple customer data sources (CRM and product data) to perform comprehensive CX analysis to identify past, present, and potential customer patterns yielding actionable insights to drive business change. Build CX metrics - data and dashboard Bring together multiple customer data sources (CRM and product data) to perform comprehensive CX analysis to identify past, present and potential customer patterns yielding actionable insights to drive business change Own monthly analysis and insights for NPS program leading to recommendations for actions across the business to drive an increase in NPS in targeted customer segments Contribute to ongoing improvements to NPS reporting, dashboards, and engagement across the company. Identify and champion impactful customer experience insights aligned to our key business priorities across customer segments, markets, and offerings.  Competencies Strategic Thinking. Ability to execute against a clear framework for defining a predictive set of Customer Experience metrics that drive business outcomes. Experience with CX metrics industry trends, best practices, and technology capabilities is preferred. Tireless Advocate for the Customer. Lead with the customer's voice in everything you do and instill the customer mindset across the organization. Analytical Skills. Able to synthesize quantitative and qualitative data across separate customer listening posts to draw impactful insights that inform strategy and prioritization. Agile & Experimentation Mindset. Unafraid to take innovative approaches to problems and bring other's creative ideas forward with an agile ""progress over perfection"" mindset. Business Acumen. Ability to connect the dots and communicate how customer experience efforts and metrics can impact business priorities and commit to delivering specific business outcomes. Communication. Storyteller with the ability to weave together data, insights, and voice of the customer to inspire an organization to action. Influence and Partnership. Relationship builder with the ability to navigate across the organization to drive alignment and action effectively. CX Industry Expertise. Develop expertise, knowledge, and connections of the CX industry, best practices, and experts to inform our work and how we operate.  Must-Haves 2+ years experience in the CX space understanding how customer data can be used to dig into problems and work cross-functionally to improve the customer experience. Experience building and leading text analytics models with experience building using Clarabridge(preferably), Qualtrics, and or Medallia. Solid understanding of industry-standard methodologies of customer insights, and desire to help evolve our VoC program Strong ability to analyze quantitative and qualitative data, optimize data sets, tools, and analysis techniques to drive business outcomes. Understanding of how to apply statistical methods to identify drivers of business results based on customer feedback and customer journey touch points. Sharp emotional intelligence and skills in leading robust multi-functional relationships. Effective communicator with written and oral presentations to inspire actions. Demonstrate validated presentation, demonstration, and technical writing skills. Substantial experience with analytical software (Tableau, SQL, data warehouse, etc.) preferred. Experience working in a fast-paced, data-driven B2B SaaS environment is preferred. Bachelor's degree, Master's Degree preferred. Our Story AppFolio (NASDAQ: APPF) was founded in 2006 with the mission to revolutionize vertical industry businesses by providing great software and service. Our easy-to-use, cloud-based software helps our customers more effectively market, manage, and grow their businesses. Today our software solutions exist in two verticals including the real estate (AppFolio Property Manager, AppFolio Property Manager PLUS, and AppFolio Investment Manager) and legal (MyCase) industries. To find out more about what AppFolio has to offer, check out appfolioinc.com/careers.",https://www.indeed.com/viewjob?jk=d5b4e59b18d28141
Data Scientist,San Diego Workforce Partnership,"San Diego, CA 92101","The San Diego Workforce Partnership, Inc. (the Workforce Partnership) is a nonprofit entity chartered by the City and County of San Diego to administer employment and training programs that empower job seekers to meet the current and future workforce needs of employers in San Diego County. Our Values Collaboration: Engaging in inclusive, respectful relationships among colleagues, customers and community that foster the achievement of shared goals. Excellence: Driving quality, innovation and measurable outcomes through a customer-centered focus and a high-performance culture. Stewardship: Strategic, efficient, effective use of resources to meet the evolving needs of our customers and community with the highest levels of integrity. Position Summary We are looking for a Data Scientist who will support our program, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to understand program outcomes and performance and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. With initiative and aptitude, this is a great opportunity for someone to spread their wings and grow! To support our research and data analysis efforts, SDWP is looking for a talented and experienced Data Scientist who will focus on: The Work What you will be doing: Managing projects end-to-end to meet objectives and deadlines Working with IT and cross functional teams to identify data sources, design data ingestion, clean up, and pre-processing scripts as needed. Leading research, data analysis and development projects Establishing scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation Analyzing, processing, evaluating and documenting large data sets Designing data structure and data storage schemes for efficient data manipulation and information retrieval Leveraging tools for data processing and information retrieval Developing data driven models to quantify the value of a given data set Organizing and merging data from multiple sources, and running data quality assurance checks Maintaining and enhancing our Data Analytics landscape Designing, architecting and supporting new and existing data and ETL pipelines and recommend improvements and modifications Requirements What you bring Practical experience with programming languages like SQL, Python, R Practical experience building complex extraction, transformation, and loading (ETL) pipelines to clean and fuse data together Extensive knowledge of relational databases and data modeling Worked with large scale data systems Experience with identifying analytic insight in data, developing visualizations, presenting findings to stakeholders, and statistical analysis techniques Your Experience & Knowledge +2 years working as a data scientist, machine learning engineer, or data engineer is required Demonstrated ability with business intelligence tools (e.g., Domo, Tableau, PowerBI) Experience working with and creating data architectures A drive to learn and master new technologies and techniques Degree in Applied Mathematics, Computer Science, or Electrical Engineering Benefits We Love to Take Care of Our Workforce Partnership Associates – PTO, PTO Sell-Back Program. Generous Employer Paid Benefits (Platinum Plans), Learning and Professional Development company paid program. Equity, Diversity and Inclusion Committee, Activities Committee, Pension Plan, and 457 Retirement Plan. The salary range for this position is $80,000-$85,000 DOE. At the Workforce Partnership, we don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, and the work that we do in the communities we serve. We are proud to be an equal opportunity workplace for all. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law. Auxiliary aids and services are available upon request to individuals with disabilities.",https://www.indeed.com/viewjob?jk=bb64a3a7d20ee7b9
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","San Diego, CA","Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experienceExperience with ML fields, e.g., natural language processing, computer vision, statistical learning theory4+ years of industry experience in predictive modeling, data science, and analysisExperience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning modelsExperience writing code in Python, R, Scala, Java, C++ with documentation for reproducibilityExperience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop modelsExperience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations  Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?  At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.  AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  Major responsibilities include: Assist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organizationUse AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML modelsResearch and implement novel ML approaches, including hardware optimizations on platforms such as AWS InferentiaWork with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototyped  Master’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships.Publications or presentations in recognized ML journals or conferencesDeep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organizationDemonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.  Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",https://www.indeed.com/viewjob?jk=0374858e70564e1b
Data Scientist II (Computational),Decision Sciences International Corporation,"Poway, CA 92064","Implement, analyze and evaluate algorithms against customer requirements for improved three-dimensional tomographic image reconstructions derived from data acquired by the Decision Sciences muon tomography system. Develop and automate simulation techniques to support this objective and support other research projects. Required Education: Bachelor’s in Computer Science, Computer Engineering, Mathematics, Physics or related field or possess relevant experience in lieu of education.  Preferred Education: Master’s or PhD in a quantitative field such as Computer Science, Computer Engineering, Mathematics, Physics a plus or possess relevant experience in lieu of advanced degree Required Experience: 3 – 5 of years of experience in three-dimensional imaging techniques, image artifacts, inverse problems and the underlying mathematical principles.Fluency in programming is required. Python and C++ required.Solid background in implementation, evaluation, and analysis of computerized algorithm implementation is requiredExperience in statistical principles and probability theory, image segmentation, automated quantitative evaluation of image data, and feature extraction is highly desiredGood communication, computer, and interpersonal skills are required to enable an effective interface with other professionals, to produce documentation, and to present results to internal audiencesFirm grasp of scientific principles and experimental techniques with an ability to think critically with strong problem-solving skills.Preferred experience: Experimental nuclear or particle physics is desirable Demonstrated expertise in implementing computationally intensive image reconstructions and in accelerating their execution (using methods such as high-performance computing or GPUs). Experience in simulations to develop and test tomographic image reconstructions Required Attributes: Possess a positive attitude and a drive to solve problems using technical creativity and hard work.A willingness to jump in and help with any task in a startup environmentStrong software development discipline will be essential.Effective communication skillsAbility to multi task and prioritizeThe ability to work both independently and as part of a team is essential  Essential Functions / Responsibilities: Develop research and implementation plans, successfully execute and update those plans, and provide bi-weekly updates to management.Research, implement, and evaluate three-dimensional image reconstruction algorithms utilizing muon scatter data as measured by the Decision Sciences muon tomography systems using the following tools:Operating Systems/Workstations: CentOS, Scientific LinuxLanguages: UNIX C / C++, Python, UNIX Shell ScriptingLibraries: STL, Boost libraries, VTK, Apache SparkTools: Paraview, Numpy, Matlab, Pandas DataFrames  Other Responsibilities: Design, implement, and test methods for accelerating image reconstruction algorithmsDesign and test automated feature extraction algorithmsDocument developed algorithms and transition these algorithms to the software team for incorporation into the production code base Provide technical advice and support to other members of the Physics and Software teams in their own development effortsAll other duties assignedComply with company’s Safety Program, Code of Conduct and Ethics policy  Travel Requirements:  Up to 10% of the time Physical Requirements: Physical demands:Ability to operate a computer, phone, fax, copy machine and other related office equipmentAbility to sit or stand at a work station for up to an entire work shift   Job ID: 0159",https://www.indeed.com/viewjob?jk=903dd65493b02237
Lead Data Scientist,TRANZACT,United States,"Lead Data Scientist We’re looking for a lead data scientist to drive our data science and analytics group forward! You’ll be joining a group of curious, smart, technically minded yet business savvy data scientists looking to make a difference to the company by designing and building out our data decisioning capabilities from the ground up!The Lead Data Scientist is passionate about using data and insights to drive business strategy and develop data products. A successful candidate will manage data science projects including scoping, designing, and executing the vision with the help of more junior data scientists / analysts. They would also identify and prioritize initiatives to deliver value to our internal stakeholders. The ideal candidate would have experience managing data science projects, managing stakeholders, and working cross functionally. This person would have real world experience “in the data trenches” as a data scientist and be an all-star individual contributor. We expect this person to have a passion for driving projects for business outcomes, strong analytical skills, and a strong desire to make an impact in our growing data science practice!What you’ll do: *Become the domain expert in multiple areas of the Tranzact business (i.e. retention, call center effectiveness, etc.) and contribute to the advancement of those area through thought leadershipLead new projects and initiatives through understanding business needs, executing, presenting and influencing stakeholders. Be a technical leader on the team that can advise, mentor, and delegate tasks to more junior data scientists and analystsFacilitate data-driven decision making and prioritize initiativesDevelop strong cross functional partnerships with business and technology stakeholdersAct as a subject matter expert within the organization on all things dataFind new and improved ways for us to use data in our products, operations, and business strategiesPartner with the VP of Data Science to build out the data science team and contribute to our long-term vision as we growWhat we’re looking for: BA/BS in a quantitative field (Computer Science, Engineering, Mathematics, Statistics, etc.)5+ years of experience in data science at a B2C or direct to consumer company (experience in marketing, business operations, or customer retention is a plus)Experience implementing predictive and prescriptive models in production systems Experience managing data science projects and mentoring data scientists / analystsProficiency with Python, SQL, Excel, and a data visualization tool (Tableau, Power BI, etc.)Ability to manage multiple projects and deadlinesExperience communicating strategy and results to different audiencesAbility to work cross functionally and influence othersA lifelong learner that is excited to learn new data science technologies and apply those to technologies to our businessAbility to be objective, follow the facts, cut through noise and create a story with dataThrives in a fast-paced environment that is constantly changingWhat we do: We achieve competitive advantage through data-driven marketing and full management of the customer experience. We’re constantly refining our technology and our strategies, that’s why we’re the industry leader in delivering the best results to the top insurance brands in America.That’s not just lip service either, we’re consistently awarded partner of the year from brands like AFLAC,Humana, and more. Our work has also been featured on The Dr. Oz Show, Forbes, and Vox -- to name a few.We want people who fit within our Be Real culture. We want a diversity of programmers and writers and designers and data scientists and strategists and more. We’re made up of introverts and extroverts, suits and rebels, corporate types and anti-corporate types. We’re an environment where every person feels their full potential is only limited by their ability to conceive of it and make it happen. Our company grew from entrepreneurial roots but has big company resources to get amazing things done.What’s in it for you: Medical, dental, vision, paid time off/holidays, 401(k), and bonus opportunityFrequent office events and outingsEmployee development programs, conference and training reimbursementWork remote flexibilityJoining a growing and exciting team making a big impact on the business!Job Type: Full-timePay: $150,000.00 - $180,000.00 per yearBenefits:401(k)Dental insuranceDisability insuranceEmployee assistance programEmployee discountFlexible scheduleFlexible spending accountHealth insuranceLife insurancePaid time offParental leaveProfessional development assistanceReferral programTuition reimbursementVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus payEducation:Bachelor's (Required)Experience:Data Science: 5 years (Required)B2C or Direct Consumer Company: 5 years (Preferred)Data Visualization tools: 5 years (Preferred)Work Location:Multiple locationsWork Remotely:Yes, temporarily due to COVID-19",https://www.indeed.com/viewjob?jk=195002e819128c62
Principal Data Scientist (Clinical Data Management),Premier Research Group Limited,"San Diego, CA 92130","Premier Research helps highly innovative biotech and specialty pharma companies transform life-changing ideas into reality. We have positioned ourselves right in the middle of the action, targeting unmet needs in analgesia, neuroscience, oncology, pediatrics, and rare diseases. We’re looking for a talented and energetic Principal Data Scientist to join our team! This is an exciting opportunity to join a dynamic and innovative team and grow with a forward-thinking organization, changing the course of medicine. Working at Premier Research means being an individual - you will be recognized for what you do and the impact you make. You will be working in a friendly environment with colleagues who are genuinely supportive, regardless of location or seniority. Premier Research is on an exciting journey - there is a true buzz throughout the company. Come be part of it! As a Lead Data Scientist with Premier Research, you’ll have the opportunity to work very closely with the Project Manager on studies as the point of contact for all data management responsibilities on multiple studies, including serving as the program or portfolio manager for a key client. What you’ll be doing: Oversee the preparation of data management plans, data entry guidelines, data management reports and other documents required for preparing and completing databases Review draft protocols and CRFs for potential data collection and representation, database structure or data entry problems, and provides feedback to the project team; Reviews CRFs, data listings, and database to ensure all captured data follow the rules outlined by the protocol and data management plan; track CRFs as they are processed through the Data Management department Generate queries to appropriate internal or external personnel (investigational sites, vendors, Clinical Research Associates, client representatives) to resolve problematic data identified during every aspect of the data management process Review responses to queries for appropriateness, resolves any discrepancies and modifies the database accordingly Mentor Data Coordinators and junior Leads Support new business opportunities, including contribution to study budgets, proposals, and bid defense meetings You’ll need this to be considered: Minimum of a Bachelor's Degree, preferably in Science, Engineering, or Math, or RN, RPh, or LPN certification preferred along with a minimum of 8 years of mastery in data management/science/analytics/informatics and at least 3 years leading studies Proven expertise in ICH/GCP and/or ISO14155 requirements; knowledge of site and institution specific contract requirements; clinical trials support or pharmaceutical industry experience; working knowledge of medical terminology and experience with clinical research; working knowledge of FDA Guidance Documents and clinical monitoring procedures; proficient in the development and review of Informed Consent Form templates Understanding and experience at least one Database Management System (e.g., Medidata Rave, DataLabs EDC, Oracle RDC or Inform, etc.); knowledge of web based communication tools for conferences Known for being customer-focused in approach to work and communications with the ability to professionally Interact with site, clients, vendors and other functional areas; strong verbal and written communication and negotiation skills Maintains a positive, results-oriented work environment; excellent team player, collaborative and able to build an effective team. Excellent organizational and time-management skills, able to prioritize work to meet deadlines; ability to multitask and work effectively in a fast-paced environment with changing priorities; accountable, dependable and strongly commited. #LI-BL1",https://www.indeed.com/viewjob?jk=7650e004401a8b7b
